🕘️更新时间,#genre#
江西卫视,http://api.kkitv.itv888.cn:8080/hls/pv0np60bpin/index.m3u8
辽宁卫视,https://iptv.catvod.com/catvod.php?id=lnws
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
辽宁卫视,https://iptv.catvod.com/live.php?id=%E8%BE%BD%E5%AE%81%E5%8D%AB%E8%A7%86%E5%8F%B0
辽宁卫视,http://114.254.80.26:8888/rtp/239.3.1.210:8056
辽宁卫视,http://114.241.107.197:85/tsfile/live/31/1031_1.m3u8?key=txiptv
内蒙古卫视,https://iptv.catvod.com/catvod.php?id=nmws
宁夏卫视,https://iptv.catvod.com/catvod.php?id=nxws
青海卫视,https://iptv.catvod.com/live.php?id=%E9%9D%92%E6%B5%B7%E5%8D%AB%E8%A7%86%E5%8F%B0
青海卫视,https://iptv.catvod.com/catvod.php?id=qhws
山东卫视,https://iptv.catvod.com/live.php?id=%E5%B1%B1%E4%B8%9C%E5%8D%AB%E8%A7%86%E5%8F%B0
山东卫视,https://iptv.catvod.com/catvod.php?id=sdws
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
山东卫视,https://hlsbkmgsplive.miguvideo.com/wd_r4/yg/shandongwshd/3000/01.m3u8?&HlsSubType=&encrypt=
山东卫视,https://hlsbkmgsplive.miguvideo.com/wd-shandonghd-1200/01.m3u8?&HlsSubType=&encrypt=
山西卫视,https://iptv.catvod.com/live.php?id=%E5%B1%B1%E8%A5%BF%E5%8D%AB%E8%A7%86%E5%8F%B0
山西卫视,https://iptv.catvod.com/catvod.php?id=sxiws
陕西卫视,https://iptv.catvod.com/catvod.php?id=sxws
四川卫视,https://iptv.catvod.com/live.php?id=%E5%9B%9B%E5%B7%9D%E5%8D%AB%E8%A7%86%E5%8F%B0
四川卫视,https://iptv.catvod.com/catvod.php?id=scws
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
四川卫视,http://api.kkitv.itv888.cn:8080/hls/p2npnppn96p/index.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
深圳卫视,https://iptv.catvod.com/catvod.php?id=szws
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
深圳卫视,http://114.241.107.197:85/tsfile/live/39/1039_1.m3u8?key=txiptv
深圳卫视,https://py.doube.eu.org/ysp/2024061303/600002481
深圳卫视,http://api.kkitv.itv888.cn:8080/hls/iftsd32ykm/index.m3u8
三沙卫视,https://iptv.catvod.com/catvod.php?id=ssws
天津卫视,https://iptv.catvod.com/live.php?id=%E5%A4%A9%E6%B4%A5%E5%8D%AB%E8%A7%86%E5%8F%B0
天津卫视,https://iptv.catvod.com/catvod.php?id=tjws
